hotel_id,city,country,name,area,stars,rating,nightly_eur,review_count,breakfast_included,refundable,distance_to_center_km,wifi,workspace,family_rooms,air_conditioning,parking,pet_friendly,accessible
H0081922,Venice,Italy,Orchid & Harbour Guesthouse · Venice,West End,2,3.7,212,7073,1,1,2.5,1,0,0,0,1,0,1
H0081923,Venice,Italy,Harbour Guesthouse by Pearl · Venice,Old Town,3,4.2,151,7210,0,1,4.2,1,1,0,1,0,0,1
H0081924,Venice,Italy,Pine Station Quarter Guesthouse · Venice,Station Quarter,4,4.6,198,7347,1,1,5.9,1,0,0,1,0,0,0
H0081925,Venice,Italy,Parkside Raven Harbour · Venice,Parkside,5,4.6,252,7484,1,1,7.6,1,1,0,1,0,0,1
H0081926,Venice,Italy,The Rosewood Harbour Guesthouse · Venice,West End,1,3.7,218,7621,0,1,9.3,1,0,1,0,0,1,1
H0081927,Venice,Italy,Saffron & Harbour Guesthouse · Venice,Old Town,2,3.9,221,7758,1,1,11.0,1,1,0,1,1,0,1
H0081928,Venice,Italy,Harbour Guesthouse by Silver · Venice,Station Quarter,3,4.2,240,7895,1,1,0.7,1,0,0,1,1,0,1
H0081929,Venice,Italy,Solstice Parkside Guesthouse · Venice,Parkside,4,4.5,189,8032,0,1,2.4,1,1,0,1,0,0,1
H0081930,Venice,Italy,West End Stone Harbour · Venice,West End,5,4.6,263,8169,1,1,4.1,1,0,0,0,0,0,1
H0081931,Venice,Italy,The Sunrise Harbour Guesthouse · Venice,Old Town,1,3.6,166,8306,1,1,5.8,1,1,1,1,0,0,1
H0081932,Venice,Italy,Terrace & Harbour Guesthouse · Venice,Station Quarter,2,4.2,177,8443,0,1,7.5,1,0,0,1,0,0,0
H0081933,Venice,Italy,Harbour Guesthouse by Velvet · Venice,Parkside,3,4.4,147,8580,1,1,9.2,1,1,0,1,1,1,1
H0081934,Venice,Italy,Willow West End Guesthouse · Venice,West End,4,4.7,207,8717,1,1,10.9,1,0,0,0,1,0,1
H0081935,Venice,Italy,Old Town Wren Harbour · Venice,Old Town,5,4.8,280,8854,0,1,0.6,1,1,0,1,0,0,1
H0081936,Venice,Italy,The Arcade Harbour Guesthouse · Venice,Station Quarter,1,3.8,186,8991,1,1,2.3,1,0,1,1,0,0,1
H0081937,Venice,Italy,Belvedere & Harbour Guesthouse · Venice,Parkside,2,4.2,242,9128,1,1,4.0,1,1,0,1,0,0,1
H0081938,Venice,Italy,Harbour Guesthouse by Canvas · Venice,West End,3,4.5,152,9265,0,1,5.7,1,0,0,0,0,0,1
H0081939,Venice,Italy,Courtyard Old Town Guesthouse · Venice,Old Town,4,4.6,257,9402,1,1,7.4,1,1,0,1,1,0,1
H0081940,Venice,Italy,Station Quarter Foundry Harbour · Venice,Station Quarter,5,4.9,212,39,1,1,9.1,1,0,0,1,1,1,0
H0081941,Venice,Italy,The Gallery Harbour Guesthouse · Venice,Parkside,1,3.3,140,176,0,1,10.8,1,1,1,1,0,0,1
H0081942,Venice,Italy,Hearth & Harbour Guesthouse · Venice,West End,2,3.9,232,313,1,1,0.5,1,0,0,0,0,0,1
H0081943,Venice,Italy,Harbour Guesthouse by Mosaic · Venice,Old Town,3,4.5,213,450,1,1,2.2,1,1,0,1,0,0,1
H0081944,Venice,Italy,Pavilion Station Quarter Guesthouse · Venice,Station Quarter,4,4.1,217,587,0,1,3.9,1,0,0,1,0,0,1
H0081945,Venice,Italy,Parkside Quayside Harbour · Venice,Parkside,5,4.4,258,724,1,1,5.6,1,1,0,1,1,0,1
H0081946,Venice,Italy,The Regent Harbour Guesthouse · Venice,West End,1,3.8,137,861,1,1,7.3,1,0,1,0,1,0,1
H0081947,Venice,Italy,Riverview & Harbour Guesthouse · Venice,Old Town,2,3.5,140,998,0,1,9.0,1,1,0,1,0,1,1
H0081948,Venice,Italy,Harbour Guesthouse by Vantage · Venice,Station Quarter,3,4.1,195,1135,1,1,10.7,1,0,0,1,0,0,0
H0081949,Venice,Italy,Voyager Parkside Guesthouse · Venice,Parkside,4,4.1,246,1272,1,1,0.4,1,1,0,1,0,0,1
H0081950,Venice,Italy,West End Amber Hearth · Venice,West End,5,4.8,258,1409,0,1,2.1,1,0,0,0,0,0,1
H0081951,Venice,Italy,The Atlas Hearth Guesthouse · Venice,Old Town,1,3.4,192,1546,1,1,3.8,1,1,1,1,1,0,1
H0081952,Venice,Italy,Aurora & Hearth Guesthouse · Venice,Station Quarter,2,4.1,232,1683,1,1,5.5,1,0,0,1,1,0,1
H0081953,Venice,Italy,Hearth Guesthouse by Bluebird · Venice,Parkside,3,4.1,144,1820,0,1,7.2,1,1,0,1,0,0,1
H0081954,Venice,Italy,Canopy West End Guesthouse · Venice,West End,4,4.1,254,1957,1,1,8.9,1,0,0,0,0,1,1
H0081955,Venice,Italy,Old Town Cedar Hearth · Venice,Old Town,5,4.5,238,2094,1,1,10.6,1,1,0,1,0,0,1
H0081956,Venice,Italy,The Copper Hearth Guesthouse · Venice,Station Quarter,1,3.4,113,2231,0,1,0.3,1,0,1,1,0,0,0
H0081957,Venice,Italy,Crown & Hearth Guesthouse · Venice,Parkside,2,3.8,172,2368,1,1,2.0,1,1,0,1,1,0,1
H0081958,Venice,Italy,Hearth Guesthouse by Dawn · Venice,West End,3,4.4,214,2505,1,1,3.7,1,0,0,0,1,0,1
H0081959,Venice,Italy,Ember Old Town Guesthouse · Venice,Old Town,4,4.0,199,2642,0,1,5.4,1,1,0,1,0,0,1
H0081960,Venice,Italy,Station Quarter Evergreen Hearth · Venice,Station Quarter,5,4.3,201,2779,1,1,7.1,1,0,0,1,0,0,1
H0081961,Venice,Italy,The Fern Hearth Guesthouse · Venice,Parkside,1,3.9,126,2916,1,1,8.8,1,1,1,1,0,1,1
H0081962,Venice,Italy,Golden & Hearth Guesthouse · Venice,West End,2,3.5,188,3053,0,1,10.5,1,0,0,0,0,0,1
H0081963,Venice,Italy,Hearth Guesthouse by Harbour · Venice,Old Town,3,4.1,150,3190,1,1,0.2,1,1,0,1,1,0,1
H0081964,Venice,Italy,Ivory Station Quarter Guesthouse · Venice,Station Quarter,4,4.2,264,3327,1,1,1.9,1,0,0,1,1,0,0
H0081965,Venice,Italy,Parkside Juniper Hearth · Venice,Parkside,5,4.5,280,3464,0,1,3.6,1,1,0,1,0,0,1
H0081966,Venice,Italy,The Lantern Hearth Guesthouse · Venice,West End,1,3.6,122,3601,1,1,5.3,1,0,1,0,0,0,1
H0081967,Venice,Italy,Laurel & Hearth Guesthouse · Venice,Old Town,2,3.9,218,3738,1,1,7.0,1,1,0,1,0,0,1
H0081968,Venice,Italy,Hearth Guesthouse by Linden · Venice,Station Quarter,3,4.3,247,3875,0,1,8.7,1,0,0,1,0,1,1
H0081969,Venice,Italy,Marble Parkside Guesthouse · Venice,Parkside,4,4.5,228,4012,1,1,10.4,1,1,0,1,1,0,1
H0081970,Venice,Italy,West End Meadow Hearth · Venice,West End,5,4.7,270,4149,1,1,0.1,1,0,0,0,1,0,1
H0081971,Venice,Italy,The Meridian Hearth Guesthouse · Venice,Old Town,1,3.3,142,4286,0,1,1.8,1,1,1,1,0,0,1
H0081972,Venice,Italy,Moonlight & Hearth Guesthouse · Venice,Station Quarter,2,3.5,147,4423,1,1,3.5,1,0,0,1,0,0,0
H0081973,Venice,Italy,Hearth Guesthouse by Northlight · Venice,Parkside,3,4.1,199,4560,1,1,5.2,1,1,0,1,0,0,1
H0081974,Venice,Italy,Olive West End Guesthouse · Venice,West End,4,4.2,214,4697,0,1,6.9,1,0,0,0,0,0,1
H0081975,Venice,Italy,Old Town Orchid Hearth · Venice,Old Town,5,4.4,218,4834,1,1,8.6,1,1,0,1,1,1,1
H0081976,Venice,Italy,The Pearl Hearth Guesthouse · Venice,Station Quarter,1,3.6,209,4971,1,1,10.3,1,0,1,1,1,0,1
H0081977,Venice,Italy,Pine & Hearth Guesthouse · Venice,Parkside,2,4.2,158,5108,0,1,12.0,1,1,0,1,0,0,1
H0081978,Venice,Italy,Hearth Guesthouse by Raven · Venice,West End,3,4.2,144,5245,1,1,1.7,1,0,0,0,0,0,1
H0081979,Venice,Italy,Rosewood Old Town Guesthouse · Venice,Old Town,4,4.1,159,5382,1,1,3.4,1,1,0,1,0,0,1
H0081980,Venice,Italy,Station Quarter Saffron Hearth · Venice,Station Quarter,5,4.5,235,5519,0,1,5.1,1,0,0,1,0,0,0
H0081981,Venice,Italy,The Silver Hearth Guesthouse · Venice,Parkside,1,3.6,127,5656,1,1,6.8,1,1,1,1,1,0,1
H0081982,Venice,Italy,Solstice & Hearth Guesthouse · Venice,West End,2,3.9,210,5793,1,1,8.5,1,0,0,0,1,1,1
H0081983,Venice,Italy,Hearth Guesthouse by Stone · Venice,Old Town,3,3.8,240,5930,0,1,10.2,1,1,0,1,0,0,1
H0081984,Venice,Italy,Sunrise Station Quarter Guesthouse · Venice,Station Quarter,4,4.4,242,6067,1,1,11.9,1,0,0,1,0,0,1
H0081985,Venice,Italy,Parkside Terrace Hearth · Venice,Parkside,5,4.9,221,6204,1,1,1.6,1,1,0,1,0,0,1
H0081986,Venice,Italy,The Velvet Hearth Guesthouse · Venice,West End,1,3.5,209,6341,0,1,3.3,1,0,1,0,0,0,1
H0081987,Venice,Italy,Willow & Hearth Guesthouse · Venice,Old Town,2,4.1,136,6478,1,1,5.0,1,1,0,1,1,0,1
H0081988,Venice,Italy,Hearth Guesthouse by Wren · Venice,Station Quarter,3,3.9,194,6615,1,1,6.7,1,0,0,1,1,0,0
H0081989,Venice,Italy,Arcade Parkside Guesthouse · Venice,Parkside,4,4.2,265,6752,0,1,8.4,1,1,0,1,0,1,1
H0081990,Venice,Italy,West End Belvedere Hearth · Venice,West End,5,4.5,206,6889,1,1,10.1,1,0,0,0,0,0,1
H0081991,Venice,Italy,The Canvas Hearth Guesthouse · Venice,Old Town,1,3.8,125,7026,1,1,11.8,1,1,1,1,0,0,1
H0081992,Venice,Italy,Courtyard & Hearth Guesthouse · Venice,Station Quarter,2,4.0,167,7163,0,1,1.5,1,0,0,1,0,0,1
H0081993,Venice,Italy,Hearth Guesthouse by Foundry · Venice,Parkside,3,4.0,200,7300,1,1,3.2,1,1,0,1,1,0,1
H0081994,Venice,Italy,Gallery West End Guesthouse · Venice,West End,4,4.2,180,7437,1,1,4.9,1,0,0,0,1,0,1
H0081995,Venice,Italy,Old Town Hearth Hearth · Venice,Old Town,5,4.5,265,7574,0,1,6.6,1,1,0,1,0,0,1
H0081996,Venice,Italy,The Mosaic Hearth Guesthouse · Venice,Station Quarter,1,3.5,216,7711,1,1,8.3,1,0,1,1,0,1,0
H0081997,Venice,Italy,Pavilion & Hearth Guesthouse · Venice,Parkside,2,3.7,231,7848,1,1,10.0,1,1,0,1,0,0,1
H0081998,Venice,Italy,Hearth Guesthouse by Quayside · Venice,West End,3,4.4,209,7985,0,1,11.7,1,0,0,0,0,0,1
H0081999,Venice,Italy,Regent Old Town Guesthouse · Venice,Old Town,4,4.4,267,8122,1,1,1.4,1,1,0,1,1,0,1
H0082000,Venice,Italy,Station Quarter Riverview Hearth · Venice,Station Quarter,5,4.4,265,8259,1,1,3.1,1,0,0,1,1,0,1
H0082001,Venice,Italy,The Vantage Hearth Guesthouse · Venice,Parkside,1,3.6,220,8396,0,1,4.8,1,1,1,1,0,0,1
H0082002,Venice,Italy,Voyager & Hearth Guesthouse · Venice,West End,2,4.2,201,8533,1,1,6.5,1,0,0,0,0,0,1
H0082003,Venice,Italy,Pavilion Guesthouse by Amber · Venice,Old Town,3,4.4,233,8670,1,1,8.2,1,1,0,1,0,1,1
H0082004,Venice,Italy,Atlas Station Quarter Guesthouse · Venice,Station Quarter,4,4.0,224,8807,0,1,9.9,1,0,0,1,0,0,0
H0082005,Venice,Italy,Parkside Aurora Pavilion · Venice,Parkside,5,4.5,186,8944,1,1,11.6,1,1,0,1,1,0,1
H0082006,Venice,Italy,The Bluebird Pavilion Guesthouse · Venice,West End,1,3.8,126,9081,1,1,1.3,1,0,1,0,1,0,1
H0082007,Venice,Italy,Canopy & Pavilion Guesthouse · Venice,Old Town,2,4.1,168,9218,0,1,3.0,1,1,0,1,0,0,1
H0082008,Venice,Italy,Pavilion Guesthouse by Cedar · Venice,Station Quarter,3,4.3,203,9355,1,1,4.7,1,0,0,1,0,0,1
H0082009,Venice,Italy,Copper Parkside Guesthouse · Venice,Parkside,4,4.6,258,9492,1,1,6.4,1,1,0,1,0,0,1
H0082010,Venice,Italy,West End Crown Pavilion · Venice,West End,5,4.4,283,129,0,1,8.1,1,0,0,0,0,1,1
H0082011,Venice,Italy,The Dawn Pavilion Guesthouse · Venice,Old Town,1,3.5,153,266,1,1,9.8,1,1,1,1,1,0,1
H0082012,Venice,Italy,Ember & Pavilion Guesthouse · Venice,Station Quarter,2,3.8,164,403,1,1,11.5,1,0,0,1,1,0,0
H0082013,Venice,Italy,Pavilion Guesthouse by Evergreen · Venice,Parkside,3,4.3,206,540,0,1,1.2,1,1,0,1,0,0,1
H0082014,Venice,Italy,Fern West End Guesthouse · Venice,West End,4,4.7,241,677,1,1,2.9,1,0,0,0,0,0,1
H0082015,Venice,Italy,Old Town Golden Pavilion · Venice,Old Town,5,4.5,257,814,1,1,4.6,1,1,0,1,0,0,1
H0082016,Venice,Italy,The Harbour Pavilion Guesthouse · Venice,Station Quarter,1,3.6,223,951,0,1,6.3,1,0,1,1,0,0,1
H0082017,Venice,Italy,Ivory & Pavilion Guesthouse · Venice,Parkside,2,4.1,196,1088,1,1,8.0,1,1,0,1,1,1,1
H0082018,Venice,Italy,Pavilion Guesthouse by Juniper · Venice,West End,3,3.7,220,1225,1,1,9.7,1,0,0,0,1,0,1
H0082019,Venice,Italy,Lantern Old Town Guesthouse · Venice,Old Town,4,4.4,222,1362,0,1,11.4,1,1,0,1,0,0,1
H0082020,Venice,Italy,Station Quarter Laurel Pavilion · Venice,Station Quarter,5,4.8,181,1499,1,1,1.1,1,0,0,1,0,0,0
H0082021,Venice,Italy,The Linden Pavilion Guesthouse · Venice,Parkside,1,3.9,141,1636,1,1,2.8,1,1,1,1,0,0,1
H0082022,Venice,Italy,Marble & Pavilion Guesthouse · Venice,West End,2,3.7,169,1773,0,1,4.5,1,0,0,0,0,0,1
H0082023,Venice,Italy,Pavilion Guesthouse by Meadow · Venice,Old Town,3,4.2,165,1910,1,1,6.2,1,1,0,1,1,0,1
H0082024,Venice,Italy,Meridian Station Quarter Guesthouse · Venice,Station Quarter,4,4.5,198,2047,1,1,7.9,1,0,0,1,1,1,1
H0082025,Venice,Italy,Parkside Moonlight Pavilion · Venice,Parkside,5,4.6,227,2184,0,1,9.6,1,1,0,1,0,0,1
H0082026,Venice,Italy,The Northlight Pavilion Guesthouse · Venice,West End,1,3.3,230,2321,1,1,11.3,1,0,1,0,0,0,1
H0082027,Venice,Italy,Olive & Pavilion Guesthouse · Venice,Old Town,2,3.9,223,2458,1,1,1.0,1,1,0,1,0,0,1
H0082028,Venice,Italy,Pavilion Guesthouse by Orchid · Venice,Station Quarter,3,4.3,187,2595,0,1,2.7,1,0,0,1,0,0,0
H0082029,Venice,Italy,Pearl Parkside Guesthouse · Venice,Parkside,4,4.2,246,2732,1,1,4.4,1,1,0,1,1,0,1
H0082030,Venice,Italy,West End Pine Pavilion · Venice,West End,5,4.4,199,2869,1,1,6.1,1,0,0,0,1,0,1
H0082031,Venice,Italy,The Raven Pavilion Guesthouse · Venice,Old Town,1,3.8,186,3006,0,1,7.8,1,1,1,1,0,1,1
H0082032,Venice,Italy,Rosewood & Pavilion Guesthouse · Venice,Station Quarter,2,3.6,166,3143,1,1,9.5,1,0,0,1,0,0,1
H0082033,Venice,Italy,Pavilion Guesthouse by Saffron · Venice,Parkside,3,4.2,256,3280,1,1,11.2,1,1,0,1,0,0,1
H0082034,Venice,Italy,Silver West End Guesthouse · Venice,West End,4,4.2,193,3417,0,1,0.9,1,0,0,0,0,0,1
H0082035,Venice,Italy,Old Town Solstice Pavilion · Venice,Old Town,5,4.8,230,3554,1,1,2.6,1,1,0,1,1,0,1
H0082036,Venice,Italy,The Stone Pavilion Guesthouse · Venice,Station Quarter,1,3.3,122,3691,1,1,4.3,1,0,1,1,1,0,0
H0082037,Venice,Italy,Sunrise & Pavilion Guesthouse · Venice,Parkside,2,3.7,240,3828,0,1,6.0,1,1,0,1,0,0,1
H0082038,Venice,Italy,Pavilion Guesthouse by Terrace · Venice,West End,3,4.4,235,3965,1,1,7.7,1,0,0,0,0,1,1
H0082039,Venice,Italy,Velvet Old Town Guesthouse · Venice,Old Town,4,4.3,225,4102,1,1,9.4,1,1,0,1,0,0,1
H0082040,Venice,Italy,Station Quarter Willow Pavilion · Venice,Station Quarter,5,4.9,254,4239,0,1,11.1,1,0,0,1,0,0,1
H0082041,Venice,Italy,The Wren Pavilion Guesthouse · Venice,Parkside,1,3.3,137,4376,1,1,0.8,1,1,1,1,1,0,1
H0082042,Venice,Italy,Arcade & Pavilion Guesthouse · Venice,West End,2,3.9,128,4513,1,1,2.5,1,0,0,0,1,0,1
H0082043,Venice,Italy,Pavilion Guesthouse by Belvedere · Venice,Old Town,3,4.3,168,4650,0,1,4.2,1,1,0,1,0,0,1
H0082044,Venice,Italy,Canvas Station Quarter Guesthouse · Venice,Station Quarter,4,4.6,192,4787,1,1,5.9,1,0,0,1,0,0,0
H0082045,Venice,Italy,Parkside Courtyard Pavilion · Venice,Parkside,5,4.9,267,4924,1,1,7.6,1,1,0,1,0,1,1
H0082046,Venice,Italy,The Foundry Pavilion Guesthouse · Venice,West End,1,3.9,131,5061,0,1,9.3,1,0,1,0,0,0,1
H0082047,Venice,Italy,Gallery & Pavilion Guesthouse · Venice,Old Town,2,3.8,176,5198,1,1,11.0,1,1,0,1,1,0,1
H0082048,Venice,Italy,Pavilion Guesthouse by Hearth · Venice,Station Quarter,3,3.8,210,5335,1,1,0.7,1,0,0,1,1,0,1
H0082049,Venice,Italy,Mosaic Parkside Guesthouse · Venice,Parkside,4,4.5,207,5472,0,1,2.4,1,1,0,1,0,0,1
H0082050,Venice,Italy,West End Pavilion Pavilion · Venice,West End,5,4.8,264,5609,1,1,4.1,1,0,0,0,0,0,1
H0082051,Venice,Italy,The Quayside Pavilion Guesthouse · Venice,Old Town,1,3.9,178,5746,1,1,5.8,1,1,1,1,0,0,1
H0082052,Venice,Italy,Regent & Pavilion Guesthouse · Venice,Station Quarter,2,4.2,176,5883,0,1,7.5,1,0,0,1,0,1,0
H0082053,Venice,Italy,Pavilion Guesthouse by Riverview · Venice,Parkside,3,4.2,202,6020,1,1,9.2,1,1,0,1,1,0,1
H0082054,Venice,Italy,Vantage West End Guesthouse · Venice,West End,4,4.7,190,6157,1,1,10.9,1,0,0,0,1,0,1
H0082055,Venice,Italy,Old Town Voyager Pavilion · Venice,Old Town,5,4.6,265,6294,0,1,0.6,1,1,0,1,0,0,1
H0082056,Venice,Italy,The Amber Gallery Guesthouse · Venice,Station Quarter,1,3.8,227,6431,1,1,2.3,1,0,1,1,0,0,1
H0082057,Venice,Italy,Atlas & Gallery Guesthouse · Venice,Parkside,2,4.2,208,6568,1,1,4.0,1,1,0,1,0,0,1
H0082058,Venice,Italy,Gallery Guesthouse by Aurora · Venice,West End,3,4.1,169,6705,0,1,5.7,1,0,0,0,0,0,1
H0082059,Venice,Italy,Bluebird Old Town Guesthouse · Venice,Old Town,4,4.5,202,6842,1,1,7.4,1,1,0,1,1,1,1
H0082060,Venice,Italy,Station Quarter Canopy Gallery · Venice,Station Quarter,5,4.7,208,6979,1,1,9.1,1,0,0,1,1,0,0
H0082061,Venice,Italy,The Cedar Gallery Guesthouse · Venice,Parkside,1,3.6,209,7116,0,1,10.8,1,1,1,1,0,0,1
H0082062,Venice,Italy,Copper & Gallery Guesthouse · Venice,West End,2,3.8,239,7253,1,1,0.5,1,0,0,0,0,0,1
H0082063,Venice,Italy,Gallery Guesthouse by Crown · Venice,Old Town,3,4.2,195,7390,1,1,2.2,1,1,0,1,0,0,1
H0082064,Venice,Italy,Dawn Station Quarter Guesthouse · Venice,Station Quarter,4,4.4,231,7527,0,1,3.9,1,0,0,1,0,0,1
H0082065,Venice,Italy,Parkside Ember Gallery · Venice,Parkside,5,4.9,197,7664,1,1,5.6,1,1,0,1,1,0,1
H0082066,Venice,Italy,The Evergreen Gallery Guesthouse · Venice,West End,1,3.9,214,7801,1,1,7.3,1,0,1,0,1,1,1
H0082067,Venice,Italy,Fern & Gallery Guesthouse · Venice,Old Town,2,3.9,150,7938,0,1,9.0,1,1,0,1,0,0,1
H0082068,Venice,Italy,Gallery Guesthouse by Golden · Venice,Station Quarter,3,4.3,178,8075,1,1,10.7,1,0,0,1,0,0,0
H0082069,Venice,Italy,Harbour Parkside Guesthouse · Venice,Parkside,4,4.0,259,8212,1,1,0.4,1,1,0,1,0,0,1
H0082070,Venice,Italy,West End Ivory Gallery · Venice,West End,5,4.7,195,8349,0,1,2.1,1,0,0,0,0,0,1
H0082071,Venice,Italy,The Juniper Gallery Guesthouse · Venice,Old Town,1,3.9,202,8486,1,1,3.8,1,1,1,1,1,0,1
H0082072,Venice,Italy,Lantern & Gallery Guesthouse · Venice,Station Quarter,2,3.6,193,8623,1,1,5.5,1,0,0,1,1,0,1
H0082073,Venice,Italy,Gallery Guesthouse by Laurel · Venice,Parkside,3,4.3,143,8760,0,1,7.2,1,1,0,1,0,1,1
H0082074,Venice,Italy,Linden West End Guesthouse · Venice,West End,4,4.6,255,8897,1,1,8.9,1,0,0,0,0,0,1
H0082075,Venice,Italy,Old Town Marble Gallery · Venice,Old Town,5,4.9,223,9034,1,1,10.6,1,1,0,1,0,0,1
H0082076,Venice,Italy,The Meadow Gallery Guesthouse · Venice,Station Quarter,1,3.4,143,9171,0,1,0.3,1,0,1,1,0,0,0
H0082077,Venice,Italy,Meridian & Gallery Guesthouse · Venice,Parkside,2,4.0,160,9308,1,1,2.0,1,1,0,1,1,0,1
H0082078,Venice,Italy,Gallery Guesthouse by Moonlight · Venice,West End,3,4.4,155,9445,1,1,3.7,1,0,0,0,1,0,1
H0082079,Venice,Italy,Northlight Old Town Guesthouse · Venice,Old Town,4,4.6,204,82,0,1,5.4,1,1,0,1,0,0,1
H0082080,Venice,Italy,Station Quarter Olive Gallery · Venice,Station Quarter,5,4.4,220,219,1,1,7.1,1,0,0,1,0,1,1
H0082081,Venice,Italy,The Orchid Gallery Guesthouse · Venice,Parkside,1,3.4,220,356,1,1,8.8,1,1,1,1,0,0,1
H0082082,Venice,Italy,Pearl & Gallery Guesthouse · Venice,West End,2,3.9,149,493,0,1,10.5,1,0,0,0,0,0,1
H0082083,Venice,Italy,Gallery Guesthouse by Pine · Venice,Old Town,3,4.0,257,630,1,1,0.2,1,1,0,1,1,0,1
H0082084,Venice,Italy,Raven Station Quarter Guesthouse · Venice,Station Quarter,4,4.4,276,767,1,1,1.9,1,0,0,1,1,0,0
H0082085,Venice,Italy,Parkside Rosewood Gallery · Venice,Parkside,5,4.9,183,904,0,1,3.6,1,1,0,1,0,0,1
H0082086,Venice,Italy,The Saffron Gallery Guesthouse · Venice,West End,1,3.4,113,1041,1,1,5.3,1,0,1,0,0,0,1
H0082087,Venice,Italy,Silver & Gallery Guesthouse · Venice,Old Town,2,3.5,157,1178,1,1,7.0,1,1,0,1,0,1,1
H0082088,Venice,Italy,Gallery Guesthouse by Solstice · Venice,Station Quarter,3,4.0,171,1315,0,1,8.7,1,0,0,1,0,0,1
H0082089,Venice,Italy,Stone Parkside Guesthouse · Venice,Parkside,4,4.0,273,1452,1,1,10.4,1,1,0,1,1,0,1
H0082090,Venice,Italy,West End Sunrise Gallery · Venice,West End,5,4.9,237,1589,1,1,0.1,1,0,0,0,1,0,1
H0082091,Venice,Italy,The Terrace Gallery Guesthouse · Venice,Old Town,1,3.4,173,1726,0,1,1.8,1,1,1,1,0,0,1
H0082092,Venice,Italy,Velvet & Gallery Guesthouse · Venice,Station Quarter,2,3.6,213,1863,1,1,3.5,1,0,0,1,0,0,0
H0082093,Venice,Italy,Gallery Guesthouse by Willow · Venice,Parkside,3,3.9,221,2000,1,1,5.2,1,1,0,1,0,0,1
H0082094,Venice,Italy,Wren West End Guesthouse · Venice,West End,4,4.0,215,2137,0,1,6.9,1,0,0,0,0,1,1
H0082095,Venice,Italy,Old Town Arcade Gallery · Venice,Old Town,5,4.6,269,2274,1,1,8.6,1,1,0,1,1,0,1
H0082096,Venice,Italy,The Belvedere Gallery Guesthouse · Venice,Station Quarter,1,3.6,161,2411,1,1,10.3,1,0,1,1,1,0,1
H0082097,Venice,Italy,Canvas & Gallery Guesthouse · Venice,Parkside,2,3.8,140,2548,0,1,12.0,1,1,0,1,0,0,1
H0082098,Venice,Italy,Gallery Guesthouse by Courtyard · Venice,West End,3,4.0,244,2685,1,1,1.7,1,0,0,0,0,0,1
H0082099,Venice,Italy,Foundry Old Town Guesthouse · Venice,Old Town,4,4.3,249,2822,1,1,3.4,1,1,0,1,0,0,1
H0082100,Venice,Italy,Station Quarter Gallery Gallery · Venice,Station Quarter,5,4.5,190,2959,0,1,5.1,1,0,0,1,0,0,0
H0082101,Venice,Italy,The Hearth Gallery Guesthouse · Venice,Parkside,1,3.3,131,3096,1,1,6.8,1,1,1,1,1,1,1
H0082102,Venice,Italy,Mosaic & Gallery Guesthouse · Venice,West End,2,4.1,229,3233,1,1,8.5,1,0,0,0,1,0,1
H0082103,Venice,Italy,Gallery Guesthouse by Pavilion · Venice,Old Town,3,4.0,210,3370,0,1,10.2,1,1,0,1,0,0,1
H0082104,Venice,Italy,Quayside Station Quarter Guesthouse · Venice,Station Quarter,4,4.3,266,3507,1,1,11.9,1,0,0,1,0,0,1
H0082105,Venice,Italy,Parkside Regent Gallery · Venice,Parkside,5,4.6,289,3644,1,1,1.6,1,1,0,1,0,0,1
H0082106,Venice,Italy,The Riverview Gallery Guesthouse · Venice,West End,1,3.6,162,3781,0,1,3.3,1,0,1,0,0,0,1
H0082107,Venice,Italy,Vantage & Gallery Guesthouse · Venice,Old Town,2,3.7,208,3918,1,1,5.0,1,1,0,1,1,0,1
H0082108,Venice,Italy,Gallery Guesthouse by Voyager · Venice,Station Quarter,3,3.9,199,4055,1,1,6.7,1,0,0,1,1,1,0
H0082109,Venice,Italy,Amber Parkside Guesthouse · Venice,Parkside,4,4.2,245,4192,0,1,8.4,1,1,0,1,0,0,1
H0082110,Venice,Italy,West End Atlas Grove · Venice,West End,5,4.7,278,4329,1,1,10.1,1,0,0,0,0,0,1
H0082111,Venice,Italy,The Aurora Grove Guesthouse · Venice,Old Town,1,3.9,181,4466,1,1,11.8,1,1,1,1,0,0,1
H0082112,Venice,Italy,Bluebird & Grove Guesthouse · Venice,Station Quarter,2,3.6,130,4603,0,1,1.5,1,0,0,1,0,0,1
H0082113,Venice,Italy,Grove Guesthouse by Canopy · Venice,Parkside,3,4.2,251,4740,1,1,3.2,1,1,0,1,1,0,1
H0082114,Venice,Italy,Cedar West End Guesthouse · Venice,West End,4,4.2,214,4877,1,1,4.9,1,0,0,0,1,0,1
H0082115,Venice,Italy,Old Town Copper Grove · Venice,Old Town,5,4.3,249,5014,0,1,6.6,1,1,0,1,0,1,1
H0082116,Venice,Italy,The Crown Grove Guesthouse · Venice,Station Quarter,1,3.8,194,5151,1,1,8.3,1,0,1,1,0,0,0
H0082117,Venice,Italy,Dawn & Grove Guesthouse · Venice,Parkside,2,3.7,187,5288,1,1,10.0,1,1,0,1,0,0,1
H0082118,Venice,Italy,Grove Guesthouse by Ember · Venice,West End,3,4.4,228,5425,0,1,11.7,1,0,0,0,0,0,1
H0082119,Venice,Italy,Evergreen Old Town Guesthouse · Venice,Old Town,4,4.1,184,5562,1,1,1.4,1,1,0,1,1,0,1
